Solution number 1
Step 1 - right
Step 2 - up
Step 3 - up
Step 4 - left
Step 5 - left
Step 6 - down
Step 7 - down
Step 8 - right
Step 9 - right
Step 10 - up
Step 11 - up
Step 12 - left
Step 13 - left
Step 14 - down
Step 15 - down
Step 16 - right
Step 17 - up
Step 18 - up
Step 19 - left
Step 20 - down
Step 21 - down
Step 22 - right
Step 23 - right
Step 24 - up
Step 25 - up
Step 26 - left
Step 27 - down
Step 28 - right
Step 29 - down
Step 30 - left
Step 31 - up
Step 32 - left
Step 33 - down
Step 34 - right
Step 35 - right
Step 36 - up
Step 37 - left
Step 38 - left
Step 39 - down
Step 40 - right
Step 41 - up
Step 42 - right
Step 43 - down
Step 44 - left
Step 45 - left
Step 46 - up
Step 47 - right
Step 48 - down
Step 49 - right
Step 50 - up
Step 51 - left
Step 52 - down
Step 53 - left
Step 54 - up
Step 55 - right
Step 56 - right
Step 57 - down
Step 58 - left
Step 59 - up
Step 60 - left
Step 61 - down
Step 62 - right
Step 63 - right
