Solution number 3
Step 1 - right
Step 2 - up
Step 3 - up
Step 4 - left
Step 5 - left
Step 6 - down
Step 7 - down
Step 8 - right
Step 9 - right
Step 10 - up
Step 11 - up
Step 12 - left
Step 13 - left
Step 14 - down
Step 15 - down
Step 16 - right
Step 17 - right
Step 18 - up
Step 19 - up
Step 20 - left
Step 21 - left
Step 22 - down
Step 23 - down
Step 24 - right
Step 25 - up
Step 26 - right
Step 27 - down
Step 28 - left
Step 29 - up
Step 30 - up
Step 31 - right
Step 32 - down
Step 33 - down
Step 34 - left
Step 35 - up
Step 36 - right
Step 37 - up
Step 38 - left
Step 39 - down
Step 40 - down
Step 41 - right
Step 42 - up
Step 43 - left
Step 44 - up
Step 45 - right
Step 46 - down
Step 47 - down
